F,,77.20852308474336,4080119
F,1,82.9040266600573,1186194
F,2,76.51901173549925,1058583
F,3,77.92847546071783,4257378
F,4,74.2128618987109,1093089
F,5,73.61840122580435,550822
F,6,76.10942223715149,797836
F,7,75.77835199158214,300314
F,8,75.06899824648896,62161
F,9,79.23752837757105,292925
M,,70.23648549173626,3973563
M,1,76.83172153003163,1063612
M,2,68.02458380577085,1094501
M,3,69.67268749236415,3748766
M,4,68.54519563522865,1222607
M,5,68.24945320273099,466352
M,6,73.38043320081918,1037625
M,7,75.07221869650853,395507
M,8,77.98924630899425,246613
M,9,74.41187202484909,346411
